Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202004,April 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,120,,347,,,0
HS,2020,202004,April 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7957260,,4958907,,,0
HS,2020,202004,April 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1928,,1901,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5177483,,3277721,,,0
HS,2020,202005,May 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3735,,3733,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7893,,38210,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,646,Rwanda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,48000,,29657,,,0
HS,2020,202005,May 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2710,,2414,,,0
HS,2020,202005,May 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5121590,,3209854,,,0
HS,2020,202005,May 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1025,,1319,,,0
HS,2020,202006,June 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,4801830,,2990831,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1747,,2615,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,12,Algeria,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2,,75,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,108,Burundi,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,370,,436,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,590,,918,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,752,Sweden,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,15,,18,,,0
HS,2020,202006,June 2020,4,0,1,Imports,404,Kenya,,800,Uganda,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,4801830,,2990831,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,834,United Rep. of Tanzania,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,38,,98,,,0
HS,2020,202006,June 2020,4,0,2,Exports,404,Kenya,,837,Bunkers,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,732,,1070,,,0
HS,2020,202007,July 2020,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,6130342,,3729401,,,0
HS,2020,202007,July 2020,4,0,2,Exports,404,Kenya,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,16270,,12477,,,0
HS,2020,202007,July 2020,4,0,1,Imports,404,Kenya,,276,Germany,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,7,,1,,,0
