Hungary	NY.GDP.MKTP.CD	1.42962E+11
IBRD only	NY.GDP.MKTP.CD	2.88642E+13
IDA & IBRD total	NY.GDP.MKTP.CD	3.09649E+13
IDA total	NY.GDP.MKTP.CD	2.10739E+12
IDA blend	NY.GDP.MKTP.CD	9.22589E+11
Indonesia	NY.GDP.MKTP.CD	1.01562E+12
IDA only	NY.GDP.MKTP.CD	1.1855E+12
Isle of Man	NY.GDP.MKTP.CD	6979581725
India	NY.GDP.MKTP.CD	2.65275E+12
Not classified	NY.GDP.MKTP.CD	
Ireland	NY.GDP.MKTP.CD	3.35663E+11
"Iran, Islamic Rep."	NY.GDP.MKTP.CD	4.45345E+11
Iraq	NY.GDP.MKTP.CD	1.95473E+11
Iceland	NY.GDP.MKTP.CD	24488176541
Israel	NY.GDP.MKTP.CD	3.53253E+11
Italy	NY.GDP.MKTP.CD	1.9618E+12
Jamaica	NY.GDP.MKTP.CD	14806340821
Jordan	NY.GDP.MKTP.CD	41408960787
Japan	NY.GDP.MKTP.CD	4.86686E+12
Kazakhstan	NY.GDP.MKTP.CD	1.66806E+11
Kenya	NY.GDP.MKTP.CD	78965004656
Kyrgyz Republic	NY.GDP.MKTP.CD	7702934800
Cambodia	NY.GDP.MKTP.CD	22177200512
Kiribati	NY.GDP.MKTP.CD	187276210.9
St. Kitts and Nevis	NY.GDP.MKTP.CD	996944444.4
"Korea, Rep."	NY.GDP.MKTP.CD	1.6239E+12
Kuwait	NY.GDP.MKTP.CD	1.20707E+11
Latin America & Caribbean (excluding high income)	NY.GDP.MKTP.CD	5.42541E+12
Lao PDR	NY.GDP.MKTP.CD	16853087485
Lebanon	NY.GDP.MKTP.CD	53140638269
Liberia	NY.GDP.MKTP.CD	3285455000
Libya	NY.GDP.MKTP.CD	37883243650
St. Lucia	NY.GDP.MKTP.CD	1999090407
Latin America & Caribbean	NY.GDP.MKTP.CD	5.99543E+12
Least developed countries: UN classification	NY.GDP.MKTP.CD	1.03254E+12
Low income	NY.GDP.MKTP.CD	5.03284E+11
Liechtenstein	NY.GDP.MKTP.CD	6552858739
Sri Lanka	NY.GDP.MKTP.CD	87428125558
Lower middle income	NY.GDP.MKTP.CD	5.76876E+12
Low & middle income	NY.GDP.MKTP.CD	2.98698E+13
Lesotho	NY.GDP.MKTP.CD	2405289384
Late-demographic dividend	NY.GDP.MKTP.CD	2.05474E+13
Lithuania	NY.GDP.MKTP.CD	47758736932
Luxembourg	NY.GDP.MKTP.CD	64181944723
Latvia	NY.GDP.MKTP.CD	30458763246
"Macao SAR, China"	NY.GDP.MKTP.CD	50751059058
St. Martin (French part)	NY.GDP.MKTP.CD	
Morocco	NY.GDP.MKTP.CD	1.09683E+11
Monaco	NY.GDP.MKTP.CD	6431314957
Moldova	NY.GDP.MKTP.CD	9669759987
Madagascar	NY.GDP.MKTP.CD	13176313233
Maldives	NY.GDP.MKTP.CD	4754352301
Middle East & North Africa	NY.GDP.MKTP.CD	3.27261E+12
Mexico	NY.GDP.MKTP.CD	1.15891E+12
Marshall Islands	NY.GDP.MKTP.CD	212881000
Middle income	NY.GDP.MKTP.CD	2.93555E+13
North Macedonia	NY.GDP.MKTP.CD	11307058382
Mali	NY.GDP.MKTP.CD	15365627045
Malta	NY.GDP.MKTP.CD	13146963159
Myanmar	NY.GDP.MKTP.CD	68945867478
Middle East & North Africa (excluding high income)	NY.GDP.MKTP.CD	1.43655E+12
Montenegro	NY.GDP.MKTP.CD	4844606146
Mongolia	NY.GDP.MKTP.CD	11425755280
Northern Mariana Islands	NY.GDP.MKTP.CD	1601000000
Mozambique	NY.GDP.MKTP.CD	13219084261
Mauritania	NY.GDP.MKTP.CD	6758390729
Mauritius	NY.GDP.MKTP.CD	13259351418
Malawi	NY.GDP.MKTP.CD	6303292264
Malaysia	NY.GDP.MKTP.CD	3.19112E+11
North America	NY.GDP.MKTP.CD	2.11764E+13
Namibia	NY.GDP.MKTP.CD	12741746524
New Caledonia	NY.GDP.MKTP.CD	
Niger	NY.GDP.MKTP.CD	11189541083
Nigeria	NY.GDP.MKTP.CD	3.75746E+11
Nicaragua	NY.GDP.MKTP.CD	13785909906
Netherlands	NY.GDP.MKTP.CD	8.3387E+11
Norway	NY.GDP.MKTP.CD	3.98394E+11
Nepal	NY.GDP.MKTP.CD	25180583770
Nauru	NY.GDP.MKTP.CD	109585941.6
New Zealand	NY.GDP.MKTP.CD	2.05416E+11
OECD members	NY.GDP.MKTP.CD	5.03202E+13
Oman	NY.GDP.MKTP.CD	70598026283
Other small states	NY.GDP.MKTP.CD	3.98893E+11
Pakistan	NY.GDP.MKTP.CD	3.04567E+11
Panama	NY.GDP.MKTP.CD	62219000000
Peru	NY.GDP.MKTP.CD	2.11007E+11
Philippines	NY.GDP.MKTP.CD	3.28481E+11
Palau	NY.GDP.MKTP.CD	286106800
Papua New Guinea	NY.GDP.MKTP.CD	22742613549
Poland	NY.GDP.MKTP.CD	5.26509E+11
Pre-demographic dividend	NY.GDP.MKTP.CD	1.2671E+12
Puerto Rico	NY.GDP.MKTP.CD	1.03446E+11
"Korea, Dem. People's Rep."	NY.GDP.MKTP.CD	
Portugal	NY.GDP.MKTP.CD	2.21358E+11
Paraguay	NY.GDP.MKTP.CD	39008900332
West Bank and Gaza	NY.GDP.MKTP.CD	16128000000
Pacific island small states	NY.GDP.MKTP.CD	10212875641
Post-demographic dividend	NY.GDP.MKTP.CD	4.74703E+13
French Polynesia	NY.GDP.MKTP.CD	
Qatar	NY.GDP.MKTP.CD	1.61099E+11
Romania	NY.GDP.MKTP.CD	2.11695E+11
Russian Federation	NY.GDP.MKTP.CD	1.5742E+12
Rwanda	NY.GDP.MKTP.CD	9253098954
South Asia	NY.GDP.MKTP.CD	3.34572E+12
Saudi Arabia	NY.GDP.MKTP.CD	6.88586E+11
Sudan	NY.GDP.MKTP.CD	45021077955
Senegal	NY.GDP.MKTP.CD	20996564752
Singapore	NY.GDP.MKTP.CD	3.41863E+11
Solomon Islands	NY.GDP.MKTP.CD	1483758907
Sierra Leone	NY.GDP.MKTP.CD	3739577973
El Salvador	NY.GDP.MKTP.CD	24979200000
San Marino	NY.GDP.MKTP.CD	1528630707
Somalia	NY.GDP.MKTP.CD	
Serbia	NY.GDP.MKTP.CD	44179055280
Sub-Saharan Africa (excluding high income)	NY.GDP.MKTP.CD	1.62699E+12
South Sudan	NY.GDP.MKTP.CD	
Sub-Saharan Africa	NY.GDP.MKTP.CD	1.64178E+12
Small states	NY.GDP.MKTP.CD	4.80559E+11
Sao Tome and Principe	NY.GDP.MKTP.CD	375614556.4
Suriname	NY.GDP.MKTP.CD	3216207914
Slovak Republic	NY.GDP.MKTP.CD	95494424979
Slovenia	NY.GDP.MKTP.CD	48586603448
Sweden	NY.GDP.MKTP.CD	5.41019E+11
Eswatini	NY.GDP.MKTP.CD	4402973000
Sint Maarten (Dutch part)	NY.GDP.MKTP.CD	1191620112
Seychelles	NY.GDP.MKTP.CD	1524486800
Syrian Arab Republic	NY.GDP.MKTP.CD	
Turks and Caicos Islands	NY.GDP.MKTP.CD	1022365000
Chad	NY.GDP.MKTP.CD	10000395242
East Asia & Pacific (IDA & IBRD countries)	NY.GDP.MKTP.CD	1.48077E+13
Europe & Central Asia (IDA & IBRD countries)	NY.GDP.MKTP.CD	3.9085E+12
Togo	NY.GDP.MKTP.CD	4819949975
Thailand	NY.GDP.MKTP.CD	4.56295E+11
Tajikistan	NY.GDP.MKTP.CD	7157865188
Turkmenistan	NY.GDP.MKTP.CD	37926285714
Latin America & the Caribbean (IDA & IBRD countries)	NY.GDP.MKTP.CD	5.75525E+12
Timor-Leste	NY.GDP.MKTP.CD	1599338100
Middle East & North Africa (IDA & IBRD countries)	NY.GDP.MKTP.CD	1.42012E+12
Tonga	NY.GDP.MKTP.CD	460379145
South Asia (IDA & IBRD)	NY.GDP.MKTP.CD	3.34572E+12
Sub-Saharan Africa (IDA & IBRD countries)	NY.GDP.MKTP.CD	1.64178E+12
Trinidad and Tobago	NY.GDP.MKTP.CD	22474828527
Tunisia	NY.GDP.MKTP.CD	39802430355
Turkey	NY.GDP.MKTP.CD	8.58989E+11
Tuvalu	NY.GDP.MKTP.CD	40619251.99
Tanzania	NY.GDP.MKTP.CD	53320625959
Uganda	NY.GDP.MKTP.CD	30756466548
Ukraine	NY.GDP.MKTP.CD	1.1219E+11
Upper middle income	NY.GDP.MKTP.CD	2.35807E+13
Uruguay	NY.GDP.MKTP.CD	59530088537
United States	NY.GDP.MKTP.CD	1.95194E+13
Uzbekistan	NY.GDP.MKTP.CD	59159945321
St. Vincent and the Grenadines	NY.GDP.MKTP.CD	792177777.8
"Venezuela, RB"	NY.GDP.MKTP.CD	
British Virgin Islands	NY.GDP.MKTP.CD	
Virgin Islands (U.S.)	NY.GDP.MKTP.CD	3855000000
Vietnam	NY.GDP.MKTP.CD	2.2378E+11
Vanuatu	NY.GDP.MKTP.CD	880043553.7
World	NY.GDP.MKTP.CD	8.1306E+13
Samoa	NY.GDP.MKTP.CD	832153612.6
Kosovo	NY.GDP.MKTP.CD	7245707185
"Yemen, Rep."	NY.GDP.MKTP.CD	26736139802
South Africa	NY.GDP.MKTP.CD	3.49554E+11
Zambia	NY.GDP.MKTP.CD	25868165345
Zimbabwe	NY.GDP.MKTP.CD	22040902300
