"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Faroe Islands","FRO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","132","137","141","143","143","143","141","140","140","140","140","141","143","144","144","144","141","138","134","128","122","116","110","103","98","93","88","84","81","78","75","73","71","70","68","66","65","63","",
"Gabon","GAB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","2033","2023","2014","2008","2003","2003","2004","2013","2024","2041","2063","2086","2110","2132","2149","2166","2178","2187","2191","2191","2184","2172","2164","2157","2154","2153","2154","2165","2166","2176","2202","2209","2222","2224","2228","2248","2242","2199","2179","2129","2075","",
"United Kingdom","GBR","Number of infant deaths","SH.DTH.IMRT","20698","20911","20928","20690","20234","19612","18868","18068","17249","16405","15503","14553","13579","12611","11693","10864","10146","9546","9040","8604","8217","7887","7626","7441","7320","7244","7170","7044","6834","6533","6149","5734","5348","5028","4776","4584","4432","4295","4157","4023","3900","3798","3725","3684","3671","3678","3688","3686","3657","3598","3511","3405","3296","3196","3108","3038","2981","2932","2888","2842","",
"Georgia","GEO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","5048","4907","4786","4676","4566","4463","4372","4298","4227","4163","4104","4043","3971","3881","3767","3624","3455","3263","3055","2834","2604","2376","2150","1938","1740","1568","1417","1286","1172","1071","983","905","834","770","713","663","620","585","556","533","512","493","474","454","",
"Ghana","GHA","Number of infant deaths","SH.DTH.IMRT","37647","38633","39654","40696","41757","42828","43901","44926","45907","46783","47504","48004","48274","48280","48061","47668","47190","46795","46636","46741","47115","47723","48438","49061","49447","49532","49254","48676","47883","47006","46207","45641","45318","45260","45388","45563","45634","45501","45056","44333","43426","42431","41470","40687","40111","39678","39329","38963","38497","37876","37122","36317","35449","34546","33698","32796","31947","31111","30324","29628","",
"Gibraltar","GIB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Number of infant deaths","SH.DTH.IMRT","31931","32097","32282","32460","32637","32851","33078","33324","33598","33881","34205","34521","34867","35193","35533","35845","36153","36463","36730","36997","37272","37570","37877","38244","38599","38970","39357","39709","40004","40199","40270","40190","40001","39709","39303","38818","38266","37667","36972","36237","35453","34617","33788","32989","32269","31630","31080","30613","30226","29917","29681","29497","29350","29236","29202","29166","29051","29004","28932","28820","",
"Gambia, The","GMB","Number of infant deaths","SH.DTH.IMRT","2625","2625","2630","2639","2650","2661","2678","2696","2717","2735","2757","2781","2807","2837","2872","2907","2942","2974","3002","3027","3050","3075","3106","3145","3190","3242","3299","3361","3419","3471","3516","3548","3567","3570","3559","3538","3507","3476","3442","3413","3387","3366","3347","3330","3315","3303","3294","3286","3281","3280","3277","3274","3270","3265","3256","3247","3233","3215","3192","3167","",
"Guinea-Bissau","GNB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","5940","5905","5871","5835","5801","5762","5714","5659","5595","5521","5446","5370","5294","5220","5149","5076","5003","4919","4826","4734","4635","4533","4428","4320","4204","4094","3990","3895","3807","3731","3650","3577","3507","3430","",
"Equatorial Guinea","GNQ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","1667","1720","1778","1837","1896","1953","2008","2059","2109","2160","2213","2273","2335","2399","2460","2512","2559","2596","2631","2660","2690","2711","2731","2745","2749","2752","2749","2747","2746","2741","2731","2723","2706","2691","2671","2651","2632","",
"Greece","GRC","Number of infant deaths","SH.DTH.IMRT","6458","6305","6085","5802","5546","5382","5268","5108","4854","4532","4177","3868","3684","3630","3605","3511","3351","3171","2990","2793","2567","2336","2133","1966","1806","1635","1461","1302","1168","1059","975","914","873","845","820","792","759","722","683","643","602","563","528","497","470","444","421","403","389","378","367","359","355","356","356","351","338","318","291","264","",
"Grenada","GRD","Number of infant deaths","SH.DTH.IMRT","265","244","220","196","174","155","139","127","117","110","106","103","100","98","96","93","91","88","86","84","82","80","78","76","74","71","68","64","60","55","51","46","42","38","35","32","30","28","27","26","25","24","23","23","23","23","23","23","23","24","24","25","25","26","26","27","27","27","27","27","",
"Greenland","GRL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Number of infant deaths","SH.DTH.IMRT","29113","28980","28889","28812","28760","28718","28697","28688","28672","28669","28650","28626","28572","28493","28380","28246","28051","27815","27535","27206","26807","26335","25794","25191","24539","23852","23183","22575","22018","21515","21072","20666","20271","19871","19442","19000","18541","18072","17607","17147","16684","16209","15699","15173","14623","14055","13496","12949","12431","11959","11521","11123","10761","10415","10100","9804","9527","9261","9022","8785","",
"Guam","GUM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Number of infant deaths","SH.DTH.IMRT","1616","1571","1530","1494","1465","1441","1423","1409","1400","1394","1390","1385","1377","1365","1349","1330","1309","1291","1276","1264","1255","1246","1233","1212","1186","1153","1116","1079","1043","1010","981","955","932","908","885","861","835","808","778","747","716","684","652","621","593","567","544","525","508","494","483","473","464","455","444","432","419","405","392","377","",
"High income","HIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148109","140592","133077","125667","118449","111664","105478","100003","95201","90988","87441","84621","82438","80662","79094","77558","75936","74210","72351","70359","68274","66195","64114","62177","60372","58746","57329","56100","54911","53710","",
"Hong Kong SAR, China","HKG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Number of infant deaths","SH.DTH.IMRT","13740","13611","13500","13402","13319","13247","13188","13104","13003","12882","12745","12591","12424","12257","12085","11911","11733","11546","11343","11126","10898","10653","10398","10136","9875","9617","9368","9124","8891","8667","8457","8268","8102","7951","7807","7668","7517","7345","7887","6929","6685","6419","6135","5853","5577","5307","5048","4802","4563","4335","4125","3934","3762","3612","3483","3364","3263","3163","3082","2995","",
"Heavily indebted poor countries (HIPC)","HPC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1694232","1709223","1724841","1739922","1756412","1766214","1772358","1776749","1776527","1766385","1750964","1729254","1702773","1673900","1643838","1614793","1587931","1560165","1534446","1509308","1493483","1460561","1435261","1412954","1391695","1371859","1350952","1330327","1311495","1294691","",
"Croatia","HRV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1273","1186","1098","1010","923","836","753","677","611","555","510","474","447","424","406","388","369","349","328","307","287","270","255","244","234","226","217","209","200","192","184","177","171","166","161","157","152","148","",
"Haiti","HTI","Number of infant deaths","SH.DTH.IMRT","31376","31349","31275","31171","30987","30759","30439","30025","29575","29103","28651","28256","27938","27713","27620","27642","27808","28110","28489","28895","29267","29532","29640","29578","29338","28927","28399","27771","27118","26467","25830","25200","24583","23976","23352","22715","22083","21467","20861","20282","19722","19206","18733","18312","17933","17594","17274","16960","16659","16362","23258","15685","15439","15114","14781","14442","14050","13677","13297","12930","",
"Hungary","HUN","Number of infant deaths","SH.DTH.IMRT","7183","6556","6071","5713","5483","5361","5320","5324","5341","5344","5333","5354","5490","5720","5828","5585","5098","4612","4224","3863","3475","3114","2860","2722","2622","2491","2335","2186","2059","1959","1887","1812","1687","1514","1343","1212","1116","1038","968","903","839","778","724","678","640","609","581","551","519","490","468","452","439","426","409","387","359","330","303","277","",
"IBRD only","IBD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5087897","4906227","4716030","4526174","4342352","4168857","4006811","3852841","3704032","3560059","3416459","3276645","3139932","3009073","2890958","2762310","2643163","2524229","2405401","2286919","2170221","2059518","1954134","1854319","1760271","1671961","1594175","1512996","1439700","1372244","",
"IDA & IBRD total","IBT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8574025","8399469","8215453","8028878","7846740","7664936","7486773","7311049","7132203","6945707","6753183","6558013","6361811","6170589","5992819","5806343","5634392","5463811","5301351","5133731","4983855","4824459","4680448","4545594","4418141","4296798","4183576","4065503","3953526","3848968","",
"IDA total","IDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3486128","3493242","3499423","3502704","3504388","3496079","3479962","3458208","3428171","3385648","3336724","3281368","3221879","3161516","3101861","3044033","2991229","2939582","2895950","2846812","2813634","2764941","2726314","2691275","2657870","2624837","2589401","2552507","2513826","2476724","",
"IDA blend","IDB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1156993","1170673","1183050","1193390","1201044","1205486","1205715","1202131","1195110","1185289","1174211","1162824","1151202","1140002","1129612","1119424","1111011","1104024","1097299","1092898","1088383","1084271","1080286","1075506","1070528","1063245","1054926","1044400","1030123","1015450","",
"Indonesia","IDN","Number of infant deaths","SH.DTH.IMRT","562239","560228","557694","554634","550746","545884","540170","533296","525300","517070","507867","498423","488439","478354","468271","458272","448694","439517","430853","422047","412878","403114","392485","380788","368293","355076","341472","327705","314093","300559","287296","274328","261558","249127","237176","225806","215569","206407","198686","192138","186624","181923","177497","173180","174647","164052","159330","154429","149589","144835","139990","135101","130247","125256","120213","115140","110330","105617","101219","97168","",
"IDA only","IDX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2329135","2322569","2316373","2309314","2303344","2290593","2274247","2256077","2233061","2200359","2162513","2118544","2070677","2021514","1972249","1924609","1880218","1835558","1798651","1753914","1725251","1680670","1646028","1615769","1587342","1561592","1534475","1508107","1483703","1461274","",
"Isle of Man","IMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Number of infant deaths","SH.DTH.IMRT","2949344","2950691","2952642","2954326","2957630","2962867","2969781","2979988","2989392","2999821","3008876","3013469","3014631","3009077","2997305","2977597","2950981","2919817","2885457","2853820","2822661","2793067","2763256","2733831","2700875","2663900","2620649","2570146","2514924","2457369","2400555","2345033","2291351","2239430","2187176","2133642","2078649","2021853","1962754","1902491","1841024","1778266","1715547","1653592","1591836","1529523","1464857","1396555","1324731","1250379","1174867","1101188","1030803","965381","905319","851000","801578","756546","715531","678728","",
"Not classified","INX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Number of infant deaths","SH.DTH.IMRT","1800","1736","1679","1622","1560","1491","1417","1343","1284","1247","1232","1232","1241","1246","1237","1210","1164","1103","1029","945","862","788","725","670","620","574","535","501","470","437","403","370","341","318","306","302","305","311","318","324","327","325","318","307","295","283","274","268","264","259","254","249","242","235","226","216","205","194","183","173","",
"Iran, Islamic Rep.","IRN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","144600","142080","139904","137904","136046","134322","132307","130093","127486","124637","121632","118375","114743","110646","105780","99960","93434","86346","79187","72145","65517","59385","53836","48933","44663","41018","37856","35143","32903","31012","29487","28216","27121","26170","25282","24432","23636","22915","22311","21802","21414","21105","20805","20484","20101","19611","19033","18311","",
"Iraq","IRQ","Number of infant deaths","SH.DTH.IMRT","38620","37800","37379","37219","37168","37168","37093","36908","36575","36095","35505","34816","34069","33292","32572","31885","31226","30603","30049","29522","29050","28666","28297","28017","27768","27567","27419","27318","27264","27246","27280","27358","27518","27716","27966","28248","28527","28789","28996","29148","29222","29241","29224","29153","29056","28920","28794","28694","28601","28527","28448","28311","28084","27734","27287","26742","26116","25508","24904","24347","",
"Iceland","ISL","Number of infant deaths","SH.DTH.IMRT","83","81","79","77","74","71","67","64","61","59","56","54","52","50","47","45","42","40","37","35","33","31","29","28","27","26","25","24","24","23","23","22","21","20","19","18","17","16","15","14","13","12","12","11","11","11","11","10","10","10","10","9","9","8","8","8","7","7","7","6","",
"Israel","ISR","Number of infant deaths","SH.DTH.IMRT","1833","1781","1734","1694","1663","1646","1648","1668","1702","1746","1796","1851","1902","1936","1940","1902","1816","1701","1589","1493","1415","1353","1299","1245","1187","1130","1079","1037","1003","978","953","923","889","850","812","778","753","735","721","708","695","682","668","652","634","617","602","590","580","573","566","559","551","543","536","529","523","518","512","505","",
"Italy","ITA","Number of infant deaths","SH.DTH.IMRT","39159","38419","37504","36390","35117","33762","32448","31230","30035","28759","27305","25587","23579","21372","19083","16885","14920","13245","11842","10668","9673","8806","8039","7355","6746","6219","5782","5427","5140","4901","4687","4466","4227","3971","3705","3442","3198","2983","2798","2644","2517","2410","2321","2245","2182","2128","2082","2042","2000","1949","1888","1816","1736","1652","1567","1484","1407","1339","1274","1212","",
"Jamaica","JAM","Number of infant deaths","SH.DTH.IMRT","3977","3908","3833","3752","3665","3569","3462","3344","3216","3079","2938","2795","2656","2526","2410","2311","2228","2164","2110","2071","2035","2005","1971","1933","1890","1841","1785","1726","1667","1609","1553","1499","1448","1400","1352","1306","1259","1211","1162","1114","1066","1021","980","945","916","892","871","851","829","803","777","751","724","698","672","646","625","603","582","560","",
"Jordan","JOR","Number of infant deaths","SH.DTH.IMRT","4828","4912","4990","5059","5126","5189","5246","5300","5341","5374","5383","5355","5291","5193","5063","4913","4750","4594","4445","4317","4207","4113","4029","3948","3870","3800","3744","3708","3691","3694","3714","3742","3768","3787","3798","3797","3784","3757","3721","3681","3639","3601","3569","3544","3530","3525","3530","3542","3557","3568","3576","3566","3535","3486","3413","3323","3216","3099","2986","2880","",
"Japan","JPN","Number of infant deaths","SH.DTH.IMRT","49414","45479","41800","38393","35367","32801","30731","29119","27882","26891","25985","25034","23922","22624","21139","19501","17816","16183","14688","13356","12192","11172","10266","9442","8696","8026","7441","6947","6542","6218","5959","5749","5563","5384","5194","4984","4756","4519","4281","4051","3836","3642","3474","3334","3214","3104","3001","2900","2799","2698","2598","2522","2392","2285","2177","2068","1962","1862","1769","1682","",
"Kazakhstan","KAZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","22709","22573","22433","22292","22169","22073","21952","21815","21621","21372","21091","20803","20507","20137","19652","19048","18345","17589","16843","16119","15410","14686","13911","13026","12028","10981","10025","9223","8585","8150","7888","7771","7741","7736","7695","7573","7346","7014","6586","6076","5530","4998","4515","4116","3823","3635","3544","3529","",
"Kenya","KEN","Number of infant deaths","SH.DTH.IMRT","47501","47148","46936","46959","47196","47698","48400","49203","50049","50911","51796","52651","53440","54143","54705","55122","55413","55644","55791","55937","56083","56258","56486","56804","57228","57841","58630","59638","60938","62500","64333","66343","68487","70466","72279","73784","74791","75450","75723","75597","74966","73955","72547","70941","69125","66717","64539","62575","59857","58795","57786","56641","56173","54963","53468","51600","50292","49551","48163","47065","",
"Kyrgyz Republic","KGZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","8942","8928","8897","8885","8871","8835","8769","8676","8543","8369","8155","7914","7685","7487","7336","7242","7155","7003","6757","6428","6030","5611","5198","4827","4493","4216","3998","3840","3735","3684","3682","3709","3727","3721","3693","3648","3586","3493","3372","3221","3043","2854","2674","2513","",
"Cambodia","KHM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","46959","44055","41262","38620","36285","34342","33003","32377","32242","32317","32358","32354","32303","32212","32047","31825","31588","31402","31226","31032","30747","30277","29514","28355","26664","24577","22478","20691","19270","18114","17179","16341","15455","14523","13578","12640","11781","11054","10451","9939","9454","9044","8642","8273","",
"Kiribati","KIR","Number of infant deaths","SH.DTH.IMRT","","","","","228","218","208","197","187","178","169","163","158","156","156","157","161","165","170","174","178","182","185","188","190","191","191","189","187","183","179","174","170","165","161","157","153","148","144","140","137","134","133","132","133","135","138","141","144","146","147","147","147","146","144","142","139","136","133","129","",
"St. Kitts and Nevis","KNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","66","62","59","56","54","52","49","46","43","40","37","34","31","28","26","24","23","22","21","20","20","19","19","18","18","17","16","15","15","14","13","12","12","11","11","11","11","11","11","11","10","10","10","10","10","9","9","",
"Korea, Rep.","KOR","Number of infant deaths","SH.DTH.IMRT","83463","79913","76284","72411","68433","64295","60135","56056","52147","48499","45112","42059","39308","36873","34622","32554","30635","28863","27184","25565","23933","22221","20411","18527","16606","14715","12989","11505","10327","9424","8719","8153","7653","7167","6661","6138","5601","5079","4589","4144","3746","3392","3071","2778","2511","2273","2069","1905","1779","1681","1604","1538","1474","1406","1336","1264","1193","1126","1067","1014","",
"Kuwait","KWT","Number of infant deaths","SH.DTH.IMRT","1092","1159","1236","1320","1407","1489","1570","1645","1713","1772","1815","1839","1842","1824","1790","1745","1693","1643","1594","1546","1493","1428","1348","1261","1177","1098","1023","947","868","781","695","644","559","517","493","482","479","478","475","472","468","464","463","466","471","479","490","503","514","519","517","509","496","481","467","453","437","420","401","380","",
"Latin America & Caribbean (excluding high income)","LAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500408","481263","461939","442172","422329","402507","382985","363938","346341","328083","310286","293915","278298","263463","249567","236623","224785","214152","204615","196153","195746","181619","175432","169671","164264","159426","159578","151456","146300","141310","",
"Lao PDR","LAO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","18905","18788","18692","18648","18642","18668","18709","18781","18849","18889","18861","18747","18508","18154","17675","17099","16440","15724","14980","14246","13535","12870","12266","11718","11228","10791","10391","10017","9660","9302","8944","8584","8229","7885","7557","7249","6958","6697","6449","6218","5999","",
"Lebanon","LBN","Number of infant deaths","SH.DTH.IMRT","3844","3829","3803","3769","3727","3682","3642","3596","3556","3527","3504","3488","3475","3460","3440","3412","3368","3303","3219","3121","3009","2887","2759","2628","2504","2392","2300","2225","2169","2125","2088","2058","2025","1984","1935","1874","1801","1717","1626","1528","1425","1318","1211","1103","1004","913","840","787","753","739","738","745","758","767","776","774","768","758","742","720","",
"Liberia","LBR","Number of infant deaths","SH.DTH.IMRT","10838","11091","11327","11519","11691","11838","11971","12084","12185","12276","12383","12498","12631","12784","12928","13072","13251","13469","13693","13925","14153","14375","14586","14799","15018","15275","15527","15766","15968","16069","16076","15972","15800","15613","15433","15283","15157","15025","14867","14633","14280","13842","13350","12792","12220","11679","11206","10823","10526","10314","10170","10078","10022","9996","10044","9978","9961","9953","9930","9886","",
"Libya","LBY","Number of infant deaths","SH.DTH.IMRT","11426","11213","11034","10905","10787","10688","10598","10489","10375","10233","10067","9855","9627","9355","9066","8769","8472","8173","7882","7587","7305","7039","6775","6519","6273","6030","5774","5503","5220","4929","4636","4346","4076","3828","3613","3417","3252","3110","2988","2882","2792","2717","2653","2589","2516","2427","2323","2207","2093","1994","1909","1874","1751","1673","1592","1516","1439","1366","1296","1232","",
"St. Lucia","LCA","Number of infant deaths","SH.DTH.IMRT","481","457","430","401","371","342","313","286","260","236","215","195","179","165","153","143","134","127","119","112","106","100","94","90","86","82","79","76","74","71","69","67","64","62","60","58","56","54","51","49","46","44","42","41","39","39","38","38","38","38","39","39","39","40","41","41","42","43","43","43","",
"Latin America & Caribbean","LCN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508862","489273","469506","449330","429123","408991","389207","369948","352155","333673","315623","299016","283218","268239","254218","241159","229221","218508","208904","200374","199888","185669","179388","173528","168006","163037","163050","154787","149490","144373","",
"Least developed countries: UN classification","LDC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2254983","2250546","2245983","2240602","2236481","2226015","2212196","2196725","2175915","2147410","2112844","2072117","2027096","1980066","1932079","1885256","1840701","1795678","1758117","1712688","1683200","1637514","1601816","1570974","1542181","1516550","1489721","1464126","1440930","1419919","",
"Low income","LIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1444471","1456637","1468964","1480398","1492574","1497703","1498907","1498431","1493087","1480904","1464438","1443604","1419851","1394602","1368897","1344429","1321152","1296956","1274433","1252782","1240632","1211194","1190281","1172620","1155784","1140456","1123548","1108124","1093669","1080500","",
"Liechtenstein","LIE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Number of infant deaths","SH.DTH.IMRT","24572","23780","23258","22904","22605","22268","21804","21261","20758","20347","20020","19779","19581","19383","19130","18775","18240","17529","16678","15753","14819","13938","13040","12023","10888","9728","8652","7771","7172","6848","6685","6580","6472","6324","6122","5893","5666","5450","5252","5074","4917","4796","4700","4616","5504","4401","4233","4041","3873","3742","3610","3446","3249","3032","2811","2605","2428","2279","2144","2025","",
"Lower middle income","LMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4943437","4869099","4795748","4721921","4645218","4563900","4477191","4384567","4286763","4182885","4076596","3968037","3859524","3753552","3650835","3547225","3446823","3345748","3247865","3141330","3040134","2942159","2848601","2760059","2677480","2599116","2524525","2451031","2378757","2310802","",
"Low & middle income","LMY","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8567154","8395934","8215347","8032142","7853197","7674053","7497746","7322847","7143956","6956617","6762622","6565543","6367426","6174660","5995843","5808855","5636874","5466368","5303955","5136313","4986284","4826665","4682414","4547400","4419865","4298514","4185259","4067179","3955185","3850628","",
"Lesotho","LSO","Number of infant deaths","SH.DTH.IMRT","4890","4968","5072","5197","5332","5470","5595","5702","5788","5850","5892","5923","5948","5956","5935","5886","5806","5704","5581","5439","5287","5128","4963","4804","4656","4519","4392","4278","4180","4100","4045","4017","4023","4053","4107","4168","4219","4311","4399","4498","4603","4689","4707","4716","4696","4664","4653","4525","4603","4390","4250","4114","4125","4109","4065","4072","4084","4031","3868","3789","",
"Late-demographic dividend","LTE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611612","1529677","1435861","1338690","1245900","1162065","1088067","1020884","957492","895904","834469","774976","717283","663712","616111","571576","533436","499960","470910","445197","421140","398828","377431","356794","336499","316658","300316","278867","261285","245065","",
"Lithuania","LTU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1138","1053","966","914","897","902","921","937","939","923","897","868","841","824","814","807","796","771","728","680","645","637","654","696","733","716","632","532","451","393","350","317","291","268","249","236","228","221","211","198","184","169","155","142","133","128","126","124","117","107","96","86","",
"Luxembourg","LUX","Number of infant deaths","SH.DTH.IMRT","164","157","150","142","134","126","118","110","101","93","85","78","71","65","60","56","52","50","48","46","45","44","43","42","41","40","38","37","36","35","34","33","32","31","29","28","26","25","24","22","21","20","19","18","17","16","15","15","14","14","14","14","14","14","14","15","15","15","15","14","",
"Latvia","LVA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","548","559","568","570","558","535","508","482","467","472","487","496","486","460","425","385","343","303","268","241","222","210","204","199","194","187","180","173","165","156","145","133","120","108","98","88","81","74","68","63","",
"Macao SAR, China","MAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Number of infant deaths","SH.DTH.IMRT","87681","88250","88477","88391","87910","87086","85996","84689","83277","81875","80605","79436","78393","77425","76454","75449","74389","73278","72085","70806","69366","67696","65708","63402","60778","57966","55122","52333","49716","47316","45096","42995","40952","38871","36808","34752","32791","30969","29331","27868","26572","25422","24392","23460","22573","21719","20951","20272","19648","19090","18554","18006","17396","16716","15998","15230","14456","13717","13035","12397","",
"Monaco","MCO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Moldova","MDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","3416","3389","3362","3330","3303","3282","3274","3271","3273","3262","3233","3176","3091","2979","2844","2695","2537","2385","2255","2161","2096","2046","2001","1949","1871","1760","1615","1450","1272","1103","959","847","768","718","691","679","673","668","662","652","637","620","602","582","561","541","520","499","",
"Madagascar","MDG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","27315","28357","29471","30655","31924","33242","34613","35919","37194","38438","39688","40970","42304","43641","44905","46024","46909","47559","47975","48198","48252","48184","48159","48140","48096","48020","47760","47293","46604","45730","44702","43570","42434","41304","40201","39153","38158","37241","36383","35599","34866","34251","33750","33323","32987","32711","32461","32204","31955","31696","31456","",
"Maldives","MDV","Number of infant deaths","SH.DTH.IMRT","","","","","","","1062","1044","1024","1002","976","948","916","879","844","812","785","765","753","746","743","741","740","735","725","711","691","667","639","608","574","537","498","456","414","372","330","291","254","222","193","169","149","133","125","112","104","99","94","90","86","82","78","74","70","65","60","55","50","46","",
"Middle East & North Africa","MEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419497","400394","381751","363549","345940","329099","313303","298678","285083","272727","261720","251880","243359","236017","229709","224310","219854","216151","213015","210555","208837","207617","206538","204906","202697","199876","196083","191689","187308","182359","",
"Mexico","MEX","Number of infant deaths","SH.DTH.IMRT","177632","175524","173796","172455","171412","170614","169933","169300","168337","167106","165447","163286","160522","157340","153766","149778","145388","140757","136007","131141","126294","121620","117137","112865","108776","104992","101327","97743","94225","90653","87056","83450","79896","76433","73077","69858","66776","63787","60936","58214","55608","53186","50875","48678","46607","44719","42977","41375","39927","38594","37344","36152","34979","33840","32677","31512","30334","29190","28044","26936","",
"Marshall Islands","MHL","Number of infant deaths","SH.DTH.IMRT","55","54","53","52","52","52","52","53","53","54","55","56","57","58","60","63","65","68","71","74","77","79","81","83","84","84","85","84","82","80","78","75","72","69","67","65","64","63","62","62","61","61","60","60","59","58","57","56","55","54","53","51","49","47","45","43","41","39","38","36","",
"Middle income","MIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7122683","6939297","6746383","6551744","6360623","6176350","5998839","5824416","5650869","5475713","5298184","5121939","4947575","4780058","4626946","4464426","4315722","4169412","4029522","3883531","3745652","3615471","3492133","3374780","3264081","3158058","3061711","2959055","2861516","2770128","",
