"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burkina Faso","BFA","Number of infant deaths","SH.DTH.IMRT","34338","34456","34595","34764","35005","35307","35695","36052","36447","36847","37226","37602","37890","38019","37989","37835","37573","37340","37191","37139","37213","37373","37567","37789","37987","38181","38325","38547","38895","39416","40119","41005","41982","43002","43968","44825","45537","46138","46691","47203","47664","47997","48208","48227","48049","47642","47061","46349","45624","44918","44243","43697","43187","42724","42271","41858","41442","41137","40798","40438","",
"Bangladesh","BGD","Number of infant deaths","SH.DTH.IMRT","386389","388398","390943","393962","397694","402090","407190","412928","418845","425053","431174","436798","441748","445712","448665","450363","450915","450557","449510","447698","445186","441913","437665","431860","424554","415975","405711","394176","381643","368445","354809","340805","326738","312704","298771","285117","271701","258494","245458","232819","220520","208551","197000","185865","175095","164620","154513","144929","135967","127741","120233","113486","107350","101700","96509","91594","86968","82573","78362","74488","",
"Bulgaria","BGR","Number of infant deaths","SH.DTH.IMRT","6184","5438","4896","4512","4260","4122","4083","4077","4008","3847","3675","3564","3512","3482","3443","3387","3303","3182","3016","2817","2621","2456","2319","2191","2064","1934","1801","1686","1613","1585","1570","1536","1476","1395","1306","1225","1166","1117","1060","993","934","896","873","850","820","786","755","730","710","695","672","635","588","538","492","453","421","395","372","351","",
"Bahrain","BHR","Number of infant deaths","SH.DTH.IMRT","951","905","861","813","762","709","656","603","552","505","462","426","395","370","350","335","324","317","311","307","303","299","297","294","291","288","285","284","283","282","280","275","266","253","236","217","200","184","172","163","158","155","154","153","154","153","152","150","148","145","142","140","139","139","139","138","137","135","132","129","",
"Bahamas, The","BHS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","108","112","117","122","126","128","129","130","130","131","133","135","138","140","142","142","142","139","135","131","126","122","118","113","108","103","98","92","86","81","77","74","72","71","71","71","72","72","72","72","72","71","69","68","66","65","64","63","61","60","59","",
"Bosnia and Herzegovina","BIH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","1796","1631","1473","1323","1182","1052","934","861","779","681","619","548","496","448","404","367","336","312","294","281","271","260","250","238","226","213","202","191","181","173","165","157","150","142","135","",
"Belarus","BLR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","2566","2505","2448","2389","2317","2228","2119","1996","1876","1769","1676","1591","1509","1426","1338","1246","1153","1060","968","881","803","740","690","648","611","577","544","512","481","454","429","407","387","368","349","329","309","288","268","",
"Belize","BLZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","359","353","347","341","336","332","327","322","317","312","306","300","294","287","279","272","264","255","247","237","227","217","206","196","187","179","172","165","160","156","152","149","146","143","140","138","136","134","131","129","127","124","122","119","116","112","108","103","98","93","89","84","",
"Bermuda","BMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Number of infant deaths","SH.DTH.IMRT","","26829","26822","26795","26759","26696","26615","26528","26435","26320","26190","26050","25881","25693","25461","25192","24898","24577","24243","23902","23574","23257","22958","22669","22375","22072","21734","21359","20939","20489","20008","19502","18973","18427","17861","17280","16678","16056","15415","14754","14085","13422","12760","12117","11487","10872","10284","9716","9181","8676","8197","7753","7330","6920","6540","6204","5903","5647","5414","5218","",
"Brazil","BRA","Number of infant deaths","SH.DTH.IMRT","377283","375581","373354","370270","366592","362416","357514","352096","346248","339992","333509","327356","321921","317374","313484","310366","307526","304396","300558","295510","288977","281153","272310","262625","252621","242314","232106","221856","211960","202380","193201","184183","175238","166043","156941","147904","139153","130740","122565","114490","106545","98718","91128","83856","77108","70865","65301","60508","56385","52965","50136","47812","45903","44302","42878","41527","43107","38835","37438","36051","",
"Barbados","BRB","Number of infant deaths","SH.DTH.IMRT","494","453","417","383","351","322","295","271","250","231","214","199","185","172","159","148","137","127","119","111","105","99","95","91","88","85","81","78","74","71","68","64","61","59","56","54","53","52","52","52","52","52","53","53","53","52","51","50","49","47","46","45","44","43","41","40","39","38","37","36","",
"Brunei Darussalam","BRN","Number of infant deaths","SH.DTH.IMRT","302","280","257","236","218","205","195","190","186","184","180","175","168","159","149","138","128","118","109","101","94","88","83","80","77","75","74","74","75","76","77","79","80","79","78","76","73","70","67","64","62","60","59","57","55","54","53","52","52","52","53","55","56","58","59","60","60","60","60","60","",
"Bhutan","BTN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","2527","2515","2502","2482","2460","2434","2408","2383","2353","2318","2278","2236","2195","2158","2118","2075","2027","1969","1902","1824","1742","1653","1562","1471","1380","1293","1208","1129","1053","982","916","855","799","746","696","648","604","562","523","487","454","426","402","383","367","353","341","331","320","309","",
"Botswana","BWA","Number of infant deaths","SH.DTH.IMRT","2660","2631","2597","2568","2541","2522","2504","2488","2470","2447","2425","2404","2381","2362","2339","2313","2282","2246","2205","2164","2125","2082","2034","1981","1920","1850","1776","1706","1645","1610","1604","1623","1657","1700","1743","1780","1700","1686","1660","1603","1522","1417","1344","1283","1224","1075","1041","1136","1205","1238","1344","1495","1501","1603","1740","1808","1859","1825","1805","1793","",
"Central African Republic","CAF","Number of infant deaths","SH.DTH.IMRT","","10366","10397","10410","10410","10400","10379","10348","10303","10253","10205","10163","10126","10106","10093","10110","10151","10234","10355","10516","10718","10948","11202","11481","11761","12030","12286","12538","12813","13105","13362","13590","13827","14064","14334","14628","14937","15253","15556","15857","16139","16396","16640","16855","17036","17168","17199","17197","17093","16882","16640","16273","15888","15573","15086","14639","14230","13918","13635","13322","",
"Canada","CAN","Number of infant deaths","SH.DTH.IMRT","13013","12600","12070","11428","10698","9921","9146","8416","7749","7157","6641","6201","5820","5482","5178","4899","4636","4387","4148","3922","3707","3509","3332","3180","3055","2953","2871","2804","2742","2680","2613","2538","2455","2360","2258","2151","2044","1945","1861","1796","1754","1733","1732","1745","1765","1788","1809","1827","1838","1844","1845","1841","1832","1819","1799","1774","1745","1713","1677","1639","",
"Central Europe and the Baltics","CEB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24724","23127","21621","20056","18433","16852","15370","14004","12736","11574","10643","10017","9635","9358","9087","8775","8386","7950","7511","7099","6702","6321","5954","5596","5252","4945","4679","4444","4213","3982","",
"Switzerland","CHE","Number of infant deaths","SH.DTH.IMRT","2075","2097","2104","2088","2041","1970","1886","1798","1704","1604","1497","1382","1263","1142","1025","918","824","747","686","640","606","583","567","556","549","545","544","544","544","539","530","515","494","471","448","427","409","394","381","369","359","349","339","329","322","316","312","310","309","309","311","313","316","319","321","323","322","321","318","314","",
"Channel Islands","CHI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Number of infant deaths","SH.DTH.IMRT","36893","35217","33941","32591","30567","27812","24954","22501","20634","19409","18745","18374","17997","17370","16263","14667","12841","11041","9477","8282","7434","6754","6129","5612","5310","5232","5258","5269","5203","5029","4751","4413","4061","3725","3427","3178","2982","2839","2714","2559","2368","2189","2063","1981","1925","1883","1859","1856","1863","1863","1845","1816","1784","1747","1698","1636","1566","1498","1433","1372","",
"China","CHN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","2369226","2222119","2060634","1890263","1716387","1546306","1390589","1255022","1143343","1056010","995962","963466","957675","973076","1003988","1044055","1083371","1111868","1121973","1108887","1070475","1011774","940804","867288","798547","739410","690088","647345","607688","569015","529199","489600","449780","412036","377302","345962","318349","293993","272926","254168","236400","219917","204137","189088","174536","160601","147325","134739","123080","112595","",
"Cote d'Ivoire","CIV","Number of infant deaths","SH.DTH.IMRT","38844","38871","38914","38998","39128","39302","39530","39794","40112","40487","40879","41282","41654","41998","42289","42488","42622","42718","42818","43030","43337","43724","44184","44749","45454","46287","47214","48285","49464","50744","52094","53461","54901","56313","57699","58936","60073","61019","61754","62248","62485","62406","62127","61675","61041","60174","59513","58614","57705","56927","56369","55974","55474","54985","54584","54292","54149","53773","53345","52538","",
"Cameroon","CMR","Number of infant deaths","SH.DTH.IMRT","34693","34860","35181","35568","35907","36133","36174","36022","35723","35407","35143","35016","35131","35498","36150","37010","37998","38996","39927","40724","41302","41672","41823","41794","41621","41416","41298","41382","41730","42442","43496","44841","46378","47994","49521","50902","52125","53188","54029","54601","54899","55107","55136","55155","55177","55365","55383","55439","55220","55062","54180","53564","52555","51219","50120","48664","47626","46430","45416","44707","",
"Congo, Dem. Rep.","COD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","133773","135954","138130","140185","142324","144360","146449","148628","150806","152971","155086","157194","159500","161800","164334","167130","170091","173440","177219","181315","185609","190185","194931","199765","204726","209379","213618","217433","220719","223351","225461","227191","228752","230164","231396","232839","233946","235063","236203","237019","237533","237868","237830","237448","236798","235939","234373","232632","230580","228831","",
"Congo, Rep.","COG","Number of infant deaths","SH.DTH.IMRT","4632","4668","4711","4759","4796","4831","4856","4880","4906","4936","4965","4999","5028","5062","5083","5107","5126","5135","5136","5113","5083","5042","4995","4944","4896","4860","4847","4865","4926","5032","5187","5395","5656","5975","6343","6750","7183","7623","8022","8331","8511","8560","8485","8301","8034","7729","7426","7157","6934","6785","6691","6644","6613","6575","6509","6403","6306","6200","6102","6015","",
"Colombia","COL","Number of infant deaths","SH.DTH.IMRT","68118","67688","67133","66355","65385","64222","62798","61089","59140","56965","54714","52539","50522","48650","46916","45297","43724","42141","40508","38824","37086","35361","33688","32113","30689","29423","28356","27499","26787","26216","25716","25199","24633","23999","23293","22512","21683","20852","20053","19295","18576","17894","17211","16526","15830","15118","14413","13744","13108","12520","11990","11516","11076","10676","10311","9957","9638","9320","8984","8676","",
"Comoros","COM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","1519","1518","1524","1531","1542","1554","1566","1581","1592","1601","1609","1611","1610","1604","1593","1578","1561","1542","1522","1502","1479","1456","1435","1417","1408","1405","1405","1412","1424","1439","1458","1480","1500","1513","1518","1517","1511","1505","1494","1483","1462","1447","1429","1407","1382","1356","1331","1303","1276","",
"Cabo Verde","CPV","Number of infant deaths","SH.DTH.IMRT","1182","1181","1181","1179","1176","1170","1158","1145","1124","1096","1063","1025","984","942","900","861","827","799","779","766","761","763","768","773","773","764","746","722","694","668","646","631","620","611","599","578","547","506","459","411","368","332","305","285","272","265","261","258","255","250","244","234","223","210","196","182","168","155","144","134","",
"Costa Rica","CRI","Number of infant deaths","SH.DTH.IMRT","4029","3999","4155","4362","4504","4486","4262","3952","3759","3723","3643","3420","3113","2830","2596","2356","2086","1817","1593","1435","1354","1356","1417","1496","1559","1577","1525","1423","1318","1243","1192","1153","1121","1093","1070","1053","1040","1019","977","912","844","792","757","734","717","706","697","690","682","672","658","639","617","592","568","548","536","531","528","523","",
"Caribbean small states","CSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4280","4120","3971","3830","3694","3566","3442","3324","3205","3095","2989","2890","2797","2713","2638","2573","2508","2449","2391","2328","2270","2208","2147","2083","2020","1956","1894","1829","1768","1703","",
"Cuba","CUB","Number of infant deaths","SH.DTH.IMRT","10499","10727","10869","10872","10720","10418","9998","9510","9005","8500","7985","7452","6888","6288","5662","5046","4466","3955","3532","3197","2949","2776","2658","2575","2505","2439","2363","2272","2162","2039","1907","1774","1646","1530","1428","1341","1265","1197","1132","1069","1008","949","891","837","787","742","704","671","644","622","604","587","572","555","537","517","496","475","454","434","",
"Curacao","CUW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","382","357","332","304","278","256","240","231","228","226","220","207","191","174","159","150","147","146","145","143","138","130","121","112","103","94","85","78","71","66","61","57","53","50","47","44","42","39","37","35","33","32","30","28","27","25","24","23","",
"Czech Republic","CZE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1965","1834","1735","1655","1581","1512","1447","1386","1318","1234","1130","1010","881","757","646","554","484","432","398","379","371","367","363","359","352","343","332","320","307","295","286","281","279","280","282","283","282","278","",
"Germany","DEU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","26319","24112","21926","19836","17930","16230","14749","13498","12461","11585","10829","10166","9580","9062","8604","8194","7814","7442","7060","6659","6243","5817","5403","5019","4679","4388","4143","3935","3753","3589","3439","3299","3169","3045","2928","2818","2714","2618","2531","2454","2391","2344","2317","2311","2326","2358","2401","2447","2487","2512","2517","",
"Djibouti","DJI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","1417","1473","1524","1573","1618","1663","1709","1751","1792","1834","1878","1920","1961","1993","2018","2027","2024","2009","1979","1940","1895","1853","1812","1773","1737","1699","1656","1610","1561","1509","1457","1408","1362","1319","1279","1240","1203","1167","1128","1091","1055","1019","984","",
"Dominica","DMA","Number of infant deaths","SH.DTH.IMRT","","171","155","142","131","122","113","105","97","88","80","72","64","56","50","44","39","35","32","30","28","27","26","25","24","23","22","21","21","20","20","20","20","20","20","20","19","19","18","18","17","17","17","16","16","17","17","17","18","18","19","20","21","22","23","25","26","28","29","30","",
"Denmark","DNK","Number of infant deaths","SH.DTH.IMRT","1660","1640","1610","1567","1509","1437","1353","1268","1192","1127","1064","991","913","836","765","700","642","591","546","507","475","450","432","422","421","427","437","449","458","460","454","439","420","399","380","363","348","335","325","318","312","306","299","291","281","270","258","246","234","223","215","209","206","205","206","206","206","206","204","201","",
"Dominican Republic","DOM","Number of infant deaths","SH.DTH.IMRT","17045","17212","17306","17323","17264","17140","16972","16783","16569","16326","16061","15749","15402","15016","14615","14211","13817","13437","13082","12751","12428","12124","11826","11538","11260","10992","10726","10463","10207","9949","9682","9405","9111","8810","8497","8178","7871","7585","7317","7083","6880","6702","6550","6413","6289","6185","6090","6008","5933","5870","5811","5758","5702","5622","5528","5409","5280","5137","4988","4826","",
"Algeria","DZA","Number of infant deaths","SH.DTH.IMRT","77160","79138","81244","83346","85357","87370","89408","91296","93070","94563","95611","96390","96800","96777","96304","95320","93917","92110","89756","86854","82977","77977","71847","64645","57152","50455","45137","41130","38217","36148","34550","33127","31700","30158","28485","26786","25150","23652","22386","21393","20625","20046","19657","19428","19343","19390","19542","19756","19967","20165","20361","20596","20877","21189","21477","21655","21618","21343","20875","20237","",
"East Asia & Pacific (excluding high income)","EAP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1726112","1644494","1550981","1455276","1365156","1284985","1215725","1153768","1096134","1040435","984463","929504","875174","823913","782429","732999","693927","658280","630674","596560","568051","540781","514531","489193","464657","441078","418219","396201","375294","355936","",
"Early-demographic dividend","EAR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4980096","4860153","4742159","4625780","4510659","4389637","4266180","4143159","4019183","3892372","3766566","3642195","3520208","3402356","3294527","3176133","3064620","2950828","2839028","2716291","2606727","2488580","2383343","2284415","2191906","2105213","2024747","1946157","1871116","1800833","",
"East Asia & Pacific","EAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743656","1661119","1566774","1470268","1379329","1298318","1228201","1165401","1106966","1050526","993881","938331","883487","831786","789918","740148","700773","664859","637015","602676","573951","546493","519999","494439","469684","445889","422826","400617","379536","360014","",
