country,year,SP.DYN.LE00.IN
Sierra Leone,2019,54.696
Singapore,2019,83.49756098
Sint Maarten (Dutch part),2019,
Slovak Republic,2019,77.47073171
Slovenia,2019,81.2804878
Solomon Islands,2019,72.996
Somalia,2019,57.397
South Africa,2019,64.131
South Sudan,2019,57.846
Spain,2019,83.48536585
Sri Lanka,2019,76.978
St. Kitts and Nevis,2019,
St. Lucia,2019,76.203
St. Martin (French part),2019,79.97317073
St. Vincent and the Grenadines,2019,72.534
Sudan,2019,65.311
Suriname,2019,71.682
Sweden,2019,82.95853659
Switzerland,2019,83.70487805
Syrian Arab Republic,2019,72.697
Tajikistan,2019,71.097
Tanzania,2019,65.456
Thailand,2019,77.15
Timor-Leste,2019,69.495
Togo,2019,61.042
Tonga,2019,70.907
Trinidad and Tobago,2019,73.507
Tunisia,2019,76.699
Turkey,2019,77.691
Turkmenistan,2019,68.191
Turks and Caicos Islands,2019,
Tuvalu,2019,
Uganda,2019,63.368
Ukraine,2019,71.82731707
United Arab Emirates,2019,77.972
United Kingdom,2019,81.20487805
United States,2019,78.78780488
Uruguay,2019,77.911
Uzbekistan,2019,71.725
Vanuatu,2019,70.474
"Venezuela, RB",2019,72.064
Vietnam,2019,75.4
Virgin Islands (U.S.),2019,79.66829268
West Bank and Gaza,2019,74.053
"Yemen, Rep.",2019,66.125
Zambia,2019,63.886
Zimbabwe,2019,61.49
