Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,816,,5665,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,367382,,672938,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,440,Lithuania,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,858,,1502,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,212038,,630828,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,42431,,79815,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,889084,,1019918,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,710,South Africa,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,11462,,15878,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,131005,,91983,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,5165,,5504,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,544,,2344,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,62,,51,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,129,,812,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,734037,,1773387,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,705,Slovenia,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,13,,74,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,2,,16,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,3545,,5989,,,0
HS,2019,201909,Sep-19,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,74171,,146246,,,0
